Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
MP,A18110009290,2022-08-09 00:00:00,22.22,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009291,2025-09-18 00:00:00,25.09,USD,FIORELLA REPRESENTACIONES S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009291,2020-09-15 00:00:00,27.45,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009293,2025-09-11 00:00:00,51.92,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009295,2020-09-30 00:00:00,7.85,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009295,2025-04-21 00:00:00,47.76,SOL,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009301,2026-05-13 00:00:00,9.153,SOL,FERSANTA SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009302,2021-12-10 00:00:00,27.1186,SOL,PERNO CENTRO LA HEROICA E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009302,2021-09-30 00:00:00,32.5313,USD,WURTH PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009303,2025-10-03 00:00:00,6.8,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009317,2022-05-25 00:00:00,55.0847,SOL,FERSANTA SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009318,2025-04-08 00:00:00,56,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009319,2024-12-20 00:00:00,11.25,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009323,2025-03-19 00:00:00,305.92,USD,CORPORACION RODASUR S.A.C,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009327,2021-03-18 00:00:00,45,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009328,2025-11-10 00:00:00,76.5,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009328,2021-01-22 00:00:00,130,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009330,2019-09-02 00:00:00,1.1,USD,GARIZA BURGOS MANUEL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009330,2026-04-21 00:00:00,1.3631,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SUF,A18110009330,2026-06-18 00:00:00,1.3631,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009335,2026-01-21 00:00:00,60.6,USD,SOUTHECK SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009336,2019-03-14 00:00:00,63.5593,SOL,RODIMPORT S.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009337,2024-12-20 00:00:00,27.23,USD,SOLUTION SUPPLY SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009346,2026-01-27 00:00:00,1.0571,USD,ALMACENES SIDERURGICOS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009351,2021-10-21 00:00:00,12.93,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009352,2026-04-29 00:00:00,4.042,USD,PEREZ INTERNATIONAL GROUP S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009352,2020-08-14 00:00:00,4.5,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009353,2021-10-21 00:00:00,18.82,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009354,2026-05-04 00:00:00,1.2798,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009354,2020-08-14 00:00:00,2.83,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
SUF,A18110009354,2025-07-07 00:00:00,4.3,SOL,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009360,2019-09-19 00:00:00,131.3559,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009362,2026-06-26 00:00:00,1.1012,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
